front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
غربية,5,2,5+,20,1,0,1,0,1,1,1,1,0,438,0,1,1,0,1,0, حطين ,شمال الرياض,6500000,14840.18265
شمالية شرقية,4,5,5+,20,1,19,1,1,1,1,1,1,0,900,1,1,0,1,1,0, حطين ,شمال الرياض,6000000,6666.666667
ثلاث شوارع,4,2,2,20,1,25,1,1,1,1,1,1,0,1650,0,1,0,1,0,0,ى بن خلدون ,شمال الرياض,11000000,6666.666667
جنوبية شرقية,5,3,2,15,0,0,1,0,1,1,1,1,0,362,0,1,1,0,1,0, حطين ,شمال الرياض,4300000,11878.45304
شمالية,4,1,5+,20,1,15,1,0,1,1,0,1,0,900,1,1,0,0,0,0, حطين ,شمال الرياض,6000000,6666.666667
شمالية غربية,7,2,5+,15,1,10,1,0,1,1,1,1,0,1085,0,1,0,0,1,0, حطين ,شمال الرياض,12000000,11059.90783
شمالية,7,5,5+,15,1,0,1,1,1,1,1,1,0,3822,0,1,0,1,0,0, حطين ,شمال الرياض,50000000,13082.15594
شمالية,6,3,5+,20,1,8,1,1,1,1,0,1,0,546,0,1,1,1,1,1, حطين ,شمال الرياض,8000000,14652.01465
شرقية,4,4,5+,15,1,0,1,0,1,1,1,1,0,427,0,1,1,0,1,1, حطين ,شمال الرياض,6500000,15222.48244
شرقية,4,4,5+,15,1,0,1,0,1,1,1,1,0,427,0,1,1,0,1,1, حطين ,شمال الرياض,6500000,15222.48244
شمالية,4,1,5+,20,1,15,1,0,1,1,0,1,0,900,1,1,0,0,0,0, حطين ,شمال الرياض,6000000,6666.666667
شمالية غربية,7,2,5+,15,1,10,1,0,1,1,1,1,0,1085,0,1,0,0,1,0, حطين ,شمال الرياض,12000000,11059.90783
شمالية شرقية,5,3,4,30,1,15,1,0,1,1,1,1,0,1050,0,1,0,0,0,0, حطين ,شمال الرياض,8200000,7809.52381
شرقية,5,4,5+,15,1,0,1,1,1,1,1,1,0,750,0,1,1,0,1,1, حطين ,شمال الرياض,6000000,8000
شرقية,5,5,5+,16,1,0,1,0,1,1,1,1,0,750,2,1,1,0,1,1, حطين ,شمال الرياض,7500000,10000
جنوبية,4,2,5+,15,1,4,1,0,1,1,1,1,0,600,3,1,1,0,0,0, حطين ,شمال الرياض,5500000,9166.666667
شمالية,4,2,5+,15,1,0,1,0,1,1,1,1,0,325,0,1,1,0,0,0, حطين ,شمال الرياض,4500000,13846.15385
شمالية,4,2,5+,15,1,0,1,0,1,1,1,1,0,325,0,1,1,0,0,0, حطين ,شمال الرياض,4500000,13846.15385
شرقية,4,3,5+,15,1,0,1,0,1,1,0,1,0,276,0,1,1,0,0,0, حطين ,شمال الرياض,3300000,11956.52174
شرقية,4,3,5+,15,1,0,1,0,1,1,0,1,0,276,0,1,1,0,0,0, حطين ,شمال الرياض,3300000,11956.52174
جنوبية,4,2,5+,15,1,4,1,0,1,1,1,1,0,600,3,1,1,0,0,0, حطين ,شمال الرياض,5500000,9166.666667
ثلاث شوارع,7,5,5+,24,1,0,1,1,1,1,1,1,0,3900,0,1,1,1,1,1, حطين ,شمال الرياض,45000000,11538.46154
شرقية,7,5,5+,15,1,0,1,1,1,1,1,1,0,450,0,1,1,0,1,0, حطين ,شمال الرياض,5500000,12222.22222
غربية,7,5,5+,20,1,0,1,1,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8300000,10171.56863
جنوبية,5,1,5+,20,1,7,1,0,1,1,1,1,0,435,0,1,1,0,1,1, حطين ,شمال الرياض,3990000,9172.413793
ثلاث شوارع,7,5,5+,27,1,0,1,1,1,1,1,1,0,450,0,1,1,0,1,0, حطين ,شمال الرياض,5000000,11111.11111
شمالية,7,5,5+,25,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7500000,12500
أربع شوارع,7,5,5+,18,1,0,1,1,1,1,1,1,0,10000,0,1,1,1,1,1, حطين ,شمال الرياض,100000000,10000
جنوبية,7,5,5+,25,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7200000,12000
شرقية,7,5,5+,25,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7500000,12500
غربية,7,5,5+,15,1,0,1,1,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,4600000,11358.02469
ثلاث شوارع,7,5,5+,11,1,0,1,1,1,1,1,1,0,2000,0,1,1,0,1,1, حطين ,شمال الرياض,20000000,10000
