front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
غربية,6,1,5+,20,1,0,1,0,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8500000,10416.66667
جنوبية,4,4,4,18,0,0,1,0,1,1,1,1,0,415,0,1,1,0,1,0, حطين ,شمال الرياض,5650000,13614.45783
غربية,7,3,4,25,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
غربية,4,1,4,20,1,0,1,0,0,1,0,1,1,265,0,1,1,0,0,0,سيه ,شرق الرياض,22500000,84905.66038
غربية,5,1,4,15,1,0,1,0,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,5000000,12345.67901
شمالية,5,3,5+,20,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,16000000,16580.31088
أربع شوارع,7,5,5+,,1,0,1,1,1,1,1,1,0,1800,0,1,1,1,1,1, حطين ,شمال الرياض,13000000,7222.222222
شمالية,4,2,5+,15,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
شرقية,4,2,3,25,1,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
شرقية,5,3,4,25,0,0,1,0,0,1,1,1,0,500,0,1,0,1,1,0, حطين ,شمال الرياض,6800000,13600
شرقية,5,3,4,20,1,0,1,0,0,1,1,1,0,455,1,1,0,0,1,1, حطين ,شمال الرياض,4500000,9890.10989
شمالية شرقية,5,1,2,60,0,10,1,1,1,1,1,1,0,1366,0,1,1,1,1,1, حطين ,شمال الرياض,18000000,13177.15959
ثلاث شوارع,7,5,5+,22,1,0,1,1,1,1,1,1,0,1250,0,1,1,0,1,1, حطين ,شمال الرياض,14000000,11200
غربية,5,1,5+,20,1,0,1,0,1,1,1,1,0,815,0,1,1,0,1,0, حطين ,شمال الرياض,8500000,10429.44785
جنوبية شرقية,7,2,5+,20,1,34,1,0,1,1,1,1,0,1400,0,1,0,0,0,0, حطين ,شمال الرياض,14000000,10000
غربية,5,3,5+,15,0,0,1,0,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,4800000,11851.85185
جنوبية,7,3,5+,28,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
شمالية,5,3,5+,15,1,0,1,0,1,1,1,1,0,427,0,1,1,0,1,0, حطين ,شمال الرياض,5300000,12412.17799
ثلاث شوارع,5,5,5+,20,1,3,1,0,1,1,1,1,0,3900,1,1,1,0,1,1, حطين ,شمال الرياض,55000000,14102.5641
جنوبية غربية,4,3,5+,28,1,0,1,0,1,1,1,1,0,2850,0,1,1,0,1,1, حطين ,شمال الرياض,20000000,7017.54386
